Date & Time,WAHDAT COLONY,SUTLAJ,CLIFTON COLONY,NEELUM,HUNZA,G IQBAL,SPARCO,RAZA,CANAL VIEW,INDUSTRIAL-II,MUSTAFA TOWN-II,UNIVERSITY,AUBIA,SHAH KAMAL,ZAID HOSPITAL,MOHD PURA,KIDNEY CENTER,MOTA SINGH WALA,GOHAWA,HAIR,ASKARI-II,EXPRESS,DEFENCE RAYA COUNTRY,PACE WOOD,BD-3,BD-10,SECTOR-M,EXPRESS -3 ,LEEL,BABU MEHAR TOWN,HAJI  PARK,L-BLOCK PHASE-V,D-BLOCK PHASE-V,BD -9,FEEDER-1 SECTOR A&B (EXTN) ,FEEDER-6 SECTOR K,FEEDER-12 SECTOR G,FEEDER-10  SECTOR A,EXPRESS FEEDER 4 PHASE-V
2020-01-01,992.9749999999999,481.208,898.8880000000001,1028.592,603.606,1168.468,598.4,394.71199999999993,716.432,1291.028,509.90400000000005,1241.104,1171.8000000000002,942.896,299.312,949.7839999999999,77.519,428.0160000000001,872.416,1378.9599999999998,379.568,660.3879999999999,537.184,94.084,49.03999999999999,114.578,16.415999999999997,499.01200000000006,430.97600000000006,990.0560000000002,1097.5120000000002,508.58400000000006,31.555999999999997,174.58800000000002,573.38,358.744,846.6759999999999,717.0840000000001,819.636
2020-01-08,961.265,450.57599999999996,895.1719999999999,985.4560000000001,601.356,1091.6480000000001,595.512,404.79200000000003,728.16,1265.0079999999998,500.83200000000005,1336.0160000000003,1117.2440000000001,930.944,259.212,914.3199999999999,79.538,434.27599999999995,866.616,1498.3680000000002,380.50800000000004,654.4920000000001,511.492,88.246,55.232,109.92,16.116,482.79600000000005,426.78000000000003,1019.9960000000001,1148.3,496.93600000000004,37.092,168.18399999999997,537.072,344.01200000000006,771.828,702.2600000000001,997.768
2020-01-15,945.875,441.416,881.34,960.46,597.064,1101.908,600.2919999999999,392.84799999999996,724.0440000000001,1224.052,495.90799999999996,1340.9679999999998,1087.368,934.5679999999999,349.884,894.336,76.822,440.50399999999996,865.3,1430.736,381.632,654.668,518.216,90.088,55.471999999999994,109.47,16.924,470.12,429.536,1022.408,1155.308,485.55999999999995,30.58,169.488,541.008,336.016,743.86,688.8199999999999,997.328
2020-01-22,872.0899999999999,429.82399999999996,837.6319999999998,913.736,562.6880000000001,985.5679999999999,578.7840000000001,361.50800000000004,682.1360000000001,1139.692,466.064,1186.4959999999999,986.9479999999999,864.784,353.756,857.8,73.645,396.05199999999996,835.572,1313.96,333.732,578.376,449.80800000000005,80.83600000000001,51.936,108.94,16.744,425.55600000000004,384.48400000000004,966.404,1055.488,392.96,33.876,149.056,472.29200000000003,316.00000000000006,661.2360000000001,614.6360000000001,915.6960000000001
2020-01-29,870.5649999999999,389.352,818.73,875.8319999999999,554.8720000000001,989.7840000000001,586.296,353.504,648.52,1126.111,462.01200000000006,1157.8280000000002,941.288,840.3040000000001,325.576,815.743,73.008,384.416,801.0120000000001,1314.464,319.158,1024.768,451.20400000000006,77.80799999999999,49.452,106.91999999999999,13.703999999999999,402.14200000000005,372.536,957.276,1044.779,378.99199999999996,31.276000000000003,152.178,443.459,298.67600000000004,641.802,597.504,867.0
2020-02-05,812.9300000000001,360.84400000000005,760.2400000000001,867.528,536.2040000000001,971.6399999999999,571.436,327.52000000000004,622.484,1080.836,456.08799999999997,1030.968,877.128,824.636,137.24800000000002,806.78,70.732,369.356,808.4200000000001,1316.1919999999998,296.104,999.308,442.28000000000003,73.05600000000001,47.792,107.25,13.491999999999999,371.052,361.468,931.7919999999999,1016.7840000000001,387.704,34.70400000000001,132.14,407.2080000000001,276.616,585.812,574.256,818.4079999999999
2020-02-12,789.815,378.68,740.628,857.272,511.59200000000004,872.9480000000001,565.336,317.416,652.104,1040.628,448.37199999999996,907.2640000000001,765.7280000000001,815.232,313.40799999999996,787.8240000000001,70.17399999999999,348.38800000000003,826.34,1266.584,254.70600000000002,467.22399999999993,380.93600000000004,65.92,46.903999999999996,105.6,14.232,354.66400000000004,357.03600000000006,876.932,1008.404,352.248,107.63600000000001,119.344,345.112,237.552,488.39599999999996,484.164,766.3439999999999
2020-02-19,790.1300000000001,379.31999999999994,733.548,852.16,524.336,844.7,581.528,320.94399999999996,672.576,1045.6799999999998,453.408,842.504,739.14,850.2239999999999,216.188,787.5920000000001,73.92,346.936,862.5319999999999,1252.04,253.91600000000003,430.816,355.49600000000004,67.124,43.952,106.31,12.912000000000003,348.908,352.592,908.8679999999999,1023.4320000000001,324.59200000000004,161.128,120.196,331.784,234.16800000000003,474.144,462.71999999999997,764.2959999999999
2020-02-26,788.2750000000001,354.504,737.9960000000001,882.332,538.424,854.78,615.212,330.74799999999993,624.592,1058.752,476.46399999999994,807.5999999999999,749.784,870.744,268.032,819.524,76.024,335.608,899.5319999999999,1183.4160000000002,250.894,430.03200000000004,368.82800000000003,65.824,45.36,108.78,12.564000000000002,353.38800000000003,363.01599999999996,955.04,1049.104,326.6,349.776,112.99600000000001,337.072,225.724,474.83600000000007,447.656,777.088
2020-03-04,777.08,378.932,707.1200000000001,862.7919999999999,520.56,802.0759999999998,564.8000000000001,319.256,623.328,1003.7840000000001,468.61600000000004,781.048,726.1560000000001,840.2159999999999,264.952,773.332,75.248,348.388,883.9639999999999,1185.984,254.53199999999998,426.24800000000005,362.048,69.14,46.056,108.28999999999999,12.319999999999999,344.77600000000007,355.276,950.6479999999999,965.1199999999999,331.552,351.336,116.63199999999999,329.978,223.94800000000004,463.0880000000001,449.9600000000001,757.5920000000001
